date,confirmed,deaths,confirmed_per_100k_inhabitants,death_rate
2020-03-12,1,0,0.19471,0.0
2020-03-15,1,0,0.19471,0.0
2020-03-16,1,0,0.19471,0.0
2020-03-18,6,0,1.16826,0.0
2020-03-19,7,1,1.36297,0.1429
2020-03-21,10,1,1.9471,0.1
2020-03-22,10,1,1.9471,0.1
2020-03-23,10,1,1.9471,0.1
2020-03-24,12,1,2.33652,0.0833
2020-03-25,19,1,3.69949,0.0526
2020-03-26,31,1,6.03601,0.0323
2020-03-27,36,1,7.0095600000000005,0.0278
2020-03-28,37,1,7.204269999999999,0.027
2020-03-29,39,1,7.59369,0.0256
2020-03-30,47,1,9.15138,0.0213
2020-03-31,57,1,11.09848,0.0175
2020-04-01,62,1,12.07203,0.0161
2020-04-02,63,1,12.266739999999999,0.0159
2020-04-03,65,1,12.65616,0.0154
2020-04-04,79,2,15.3821,0.0253
2020-04-05,87,2,16.93978,0.023
2020-04-06,92,2,17.91333,0.0217
2020-04-07,94,2,18.30275,0.0213
2020-04-08,106,2,20.63927,0.0189
2020-04-09,117,5,22.78108,0.0427
2020-04-10,117,5,22.78108,0.0427
2020-04-11,120,6,23.36521,0.05
2020-04-12,120,6,23.36521,0.05
2020-04-13,124,7,24.14405,0.0565
2020-04-14,148,10,28.8171,0.0676
2020-04-15,167,11,32.51659,0.0659
2020-04-16,167,11,32.51659,0.0659
2020-04-17,185,14,36.021370000000005,0.0757
2020-04-18,199,14,38.74731,0.0704
2020-04-19,212,14,41.27854,0.066
2020-04-20,214,16,41.66796,0.0748
2020-04-21,233,16,45.367459999999994,0.0687
2020-04-22,239,16,46.53572,0.0669
2020-04-23,239,16,46.53572,0.0669
2020-04-24,249,17,48.482820000000004,0.0683
2020-04-25,254,17,49.45637,0.0669
2020-04-26,260,19,50.624629999999996,0.0731
2020-04-27,266,20,51.79289,0.0752
2020-04-28,282,20,54.90825,0.0709
2020-04-29,282,20,54.90825,0.0709
2020-04-30,344,25,66.98028000000001,0.0727
2020-05-01,406,26,79.05230999999999,0.064
2020-05-02,410,26,79.83115,0.0634
2020-05-03,422,27,82.16767,0.064
2020-05-04,436,27,84.89361,0.0619
2020-05-05,458,31,89.17723000000001,0.0677
2020-05-06,500,33,97.35506,0.066
2020-05-07,524,35,102.0281,0.0668
2020-05-08,630,40,122.66736999999999,0.0635
2020-05-09,629,39,122.47266,0.062
2020-05-10,756,43,147.20085,0.0569
2020-05-11,779,45,151.67918,0.0578
2020-05-12,779,45,151.67918,0.0578
2020-05-13,779,45,151.67918,0.0578
2020-05-14,779,45,151.67918,0.0578
2020-05-15,790,56,153.82099,0.0709
2020-05-16,1188,65,231.31562000000002,0.0547
2020-05-17,1188,65,231.31562000000002,0.0547
2020-05-18,1968,65,383.18951,0.033
2020-05-19,1968,65,383.18951,0.033
2020-05-20,1968,65,383.18951,0.033
2020-05-21,1968,65,383.18951,0.033
2020-05-22,1982,88,385.91545,0.0444
2020-05-23,1983,89,386.11016,0.0449
2020-05-24,1983,89,386.11016,0.0449
2020-05-25,2041,89,397.40335,0.0436
2020-05-26,1692,92,329.44952,0.0544
2020-05-27,1692,92,329.44952,0.0544
2020-05-28,2293,99,446.4703,0.0432
2020-05-29,2747,102,534.86869,0.0371
2020-05-30,3050,104,593.86585,0.0341
2020-05-31,3065,104,596.7865,0.0339
2020-06-01,3086,104,600.87542,0.0337
2020-06-02,3252,113,633.1973,0.0347
2020-06-03,3357,122,653.64186,0.0363
2020-06-04,3447,127,671.1657700000001,0.0368
2020-06-05,3506,127,682.65367,0.0362
2020-06-06,3586,126,698.23047,0.0351
2020-06-07,3915,126,762.2901,0.0322
2020-06-08,4186,126,815.05654,0.0301
2020-06-09,4327,134,842.5106699999999,0.031
2020-06-10,4288,135,834.91698,0.0315
2020-06-11,4285,143,834.33285,0.0334
2020-06-12,4413,144,859.2557400000001,0.0326
2020-06-13,4515,146,879.1161699999999,0.0323
2020-06-14,4572,146,890.21465,0.0319
2020-06-15,4671,146,909.49095,0.0313
2020-06-16,4719,155,918.83704,0.0328
2020-06-17,4839,166,942.20225,0.0343
2020-06-18,4843,170,942.98109,0.0351
2020-06-19,5219,172,1016.19209,0.033
2020-06-20,5347,175,1041.11499,0.0327
2020-06-21,5370,175,1045.59332,0.0326
2020-06-22,5426,176,1056.49709,0.0324
2020-06-23,5540,179,1078.69404,0.0323
2020-06-24,5694,184,1108.6794,0.0323
2020-06-25,5922,184,1153.0733,0.0311
2020-06-26,6105,183,1188.70526,0.03
2020-06-27,6121,184,1191.82062,0.0301
2020-06-28,6346,185,1235.63039,0.0292
2020-06-29,6357,185,1237.7722,0.0291
2020-06-30,6377,230,1241.66641,0.0361
2020-07-01,6377,208,1241.66641,0.0326
2020-07-02,6377,208,1241.66641,0.0326
2020-07-03,6377,208,1241.66641,0.0326
2020-07-04,6377,231,1241.66641,0.0362
2020-07-05,6701,232,1304.75248,0.0346
2020-07-06,6722,232,1308.8414,0.0345
2020-07-07,6809,232,1325.7811800000002,0.0341
2020-07-08,6911,232,1345.64161,0.0336
2020-07-09,6969,234,1356.9348,0.0336
2020-07-10,7126,238,1387.50428,0.0334
2020-07-11,7139,242,1390.03552,0.0339
2020-07-12,7139,242,1390.03552,0.0339
2020-07-13,7267,242,1414.95841,0.0333
2020-07-14,7294,254,1420.21558,0.0348
2020-07-15,7457,255,1451.95333,0.0342
2020-07-16,7463,261,1453.12159,0.035
2020-07-17,7463,261,1453.12159,0.035
2020-07-19,7725,270,1504.13564,0.035
2020-07-20,8007,270,1559.0439,0.0337
2020-07-21,8227,271,1601.88012,0.0329
2020-07-22,8321,271,1620.1828699999999,0.0326
2020-07-23,8455,273,1646.27403,0.0323
2020-07-24,8573,283,1669.24982,0.033
2020-07-25,8682,292,1690.4732199999999,0.0336
2020-07-26,8682,292,1690.4732199999999,0.0336
2020-07-27,8693,292,1692.6150300000002,0.0336
2020-07-28,8805,294,1714.42257,0.0334
2020-07-29,8899,293,1732.72532,0.0329
2020-07-30,8980,300,1748.4968399999998,0.0334
2020-07-31,9079,309,1767.7731399999998,0.034
2020-08-01,9079,309,1767.7731399999998,0.034
2020-08-02,9079,309,1767.7731399999998,0.034
2020-08-03,9079,309,1767.7731399999998,0.034
2020-08-04,9079,309,1767.7731399999998,0.034
2020-08-05,9079,309,1767.7731399999998,0.034
2020-08-06,9079,309,1767.7731399999998,0.034
2020-08-07,9079,309,1767.7731399999998,0.034
2020-08-08,9290,310,1808.8569699999998,0.0334
2020-08-09,9380,310,1826.3808800000002,0.033
2020-08-10,9380,310,1826.3808800000002,0.033
2020-08-11,9599,314,1869.0224,0.0327
2020-08-12,9599,314,1869.0224,0.0327
2020-08-13,9718,320,1892.1929,0.0329
2020-08-14,9930,325,1933.47145,0.0327
2020-08-15,9953,330,1937.9497800000001,0.0332
2020-08-16,9973,330,1941.84398,0.0331
2020-08-17,9973,330,1941.84398,0.0331
2020-08-18,10134,330,1973.1923100000001,0.0326
2020-08-19,10134,330,1973.1923100000001,0.0326
2020-08-20,10314,342,2008.2401300000001,0.0332
2020-08-21,10314,342,2008.2401300000001,0.0332
2020-08-22,10429,347,2030.6318,0.0333
2020-08-23,10432,347,2031.21593,0.0333
2020-08-24,10432,347,2031.21593,0.0333
2020-08-25,10606,353,2065.0954899999997,0.0333
2020-08-26,10606,353,2065.0954899999997,0.0333
2020-08-27,10852,358,2112.99417,0.033
2020-08-29,11085,365,2158.36163,0.0329
2020-08-30,11110,365,2163.22938,0.0329
2020-08-31,11130,365,2167.1235899999997,0.0328
2020-09-01,11256,371,2191.65706,0.033
2020-09-02,11302,371,2200.61373,0.0328
2020-09-03,11480,379,2235.2721300000003,0.033
2020-09-04,11889,379,2314.9085600000003,0.0319
2020-09-05,11889,379,2314.9085600000003,0.0319
2020-09-06,11637,390,2265.84162,0.0335
2020-09-07,11637,390,2265.84162,0.0335
2020-09-08,11677,390,2273.63002,0.0334
2020-09-09,11747,394,2287.25973,0.0335
2020-09-10,11817,394,2300.88944,0.0333
2020-09-11,11873,394,2311.7932,0.0332
2020-09-12,11973,395,2331.2642100000003,0.033
2020-09-13,12073,395,2350.7352300000002,0.0327
2020-09-14,12165,395,2368.64856,0.0325
2020-09-15,12195,409,2374.48986,0.0335
2020-09-16,12225,409,2380.33116,0.0335
2020-09-17,12255,409,2386.17247,0.0334
2020-09-18,12280,409,2391.04022,0.0333
2020-09-19,12395,413,2413.43188,0.0333
2020-09-20,12395,413,2413.43188,0.0333
2020-09-21,12395,413,2413.43188,0.0333
2020-09-22,12737,413,2480.02274,0.0324
2020-09-24,12890,415,2509.81339,0.0322
2020-09-25,12966,415,2524.6113600000003,0.032
2020-09-26,13026,420,2536.2939699999997,0.0322
2020-09-27,13086,420,2547.97657,0.0321
2020-09-28,13146,420,2559.65918,0.0319
2020-09-29,13218,420,2573.6783100000002,0.0318
2020-09-30,13298,423,2589.25512,0.0318
2020-10-01,13378,423,2604.8319300000003,0.0316
2020-10-02,13456,423,2620.01932,0.0314
2020-10-03,13536,444,2635.5961199999997,0.0328
2020-10-05,13696,444,2666.7497399999997,0.0324
